,word_root,polarity
1,가격,0
2,가격 착,1.5
3,가격이 착,1.5
4,가까스로,0
5,가까이,1.5
6,가꾸러뜨리,-1.5
7,가꾸러트리,-1.5
8,가난,-3
9,가난뱅이,-3
10,가년,-3
11,가념하,-1.5
12,가누,-1.5
13,가능,3
14,가능성,3
15,가닐가닐,-1.5
16,가다듬,1.5
17,가당찮,-3
18,가두,-1.5
19,가드,-1.5
20,가뜬,1.5
21,가라앉,0
22,가라앉히,1.5
23,가래,-1.5
24,가량,-1.5
25,가련,-1.5
26,가렵,-1.5
27,가로,-1.5
28,가로막,-1.5
29,가르,-1.5
30,가르치,1.5
31,가르침,1.5
32,가리,-1.5
33,가마득,-1.5
34,가만있,-1.5
35,가망,-1.5
36,가벼,3
37,가벼운,1.5
38,가볍,-1.5
39,가분,1.5
40,가분가분,1.5
41,가뿐,1.5
42,가뿐가뿐,1.5
43,가쁘,-1.5
44,가살,-1.5
,가성비,1.5
41,가소롭,-1.5
42,가스,-1.5
43,가슴,0
44,가슴속,0
45,가슴앓이,-3
46,가습,-1.5
47,가엽,-1.5
48,가엾,-1.5
49,가운데,0
50,가위눌리,-1.5
51,가장,3
52,가증,-1.5
53,가지런,1.5
54,가짜,-3
55,가책,-1.5
56,가치,1.5
57,가탈,-1.5
58,가혹,-3
59,각근하,-1.5
61,각별,1.5
60,각별나,1.5
62,간드러지,3
63,간사,-1.5
64,간섭,-1.5
65,간신히,-1.5
66,간절,3
67,간지럽,-1.5
68,간직,1.5
69,간질,-1.5
70,간질간질,-1.5
71,간편,3
72,갈강병,-1.5
74,갈라지,-1.5
75,갈색,-1.5
76,갈증,-1.5
77,갈팡질팡,-1.5
78,갈피,-1.5
79,감각,-1.5
80,감각적,1.5
81,감감,-1.5
82,감개,3
83,감격,3
84,감격성,3
85,감격적,3
3722,감귤,0
86,감금,-3
87,감기,-1.5
88,감당,1.5
89,감동,3
90,감명,3
91,감모,1.5
92,감미롭,3
93,감병,-1.5
94,감복,3
95,감사,3
96,감싸,1.5
97,감옥,-1.5
98,감정,-1.5
3689,감질,-1.5
3707,감칠,3
99,감칠맛,3
100,감탄,3
101,감회,3
103,갑갑,-1.5
102,갑갑궁금하,-1.5
104,갑자기,-1.5
105,갑작스럽,-1.5
106,값지,3
107,강간죄,-3
108,강개,-3
109,강구,0
110,강도,-1.5
111,강렬,1.5
112,강박,-1.5
113,강세,1.5
114,강인,1.5
115,강제,-1.5
116,강제적,-3
117,강추,3
118,강탈,-3
119,강하,1.5
120,강화,1.5
121,갖추,1.5
122,같잖,-1.5
123,개가,-1.5
3634,개새끼,-3
124,개선,3
125,개성,1.5
126,개운,-1.5
127,개으름,-1.5
3633,개자식,-3
128,개짓하,-3
129,개회,0
130,갸륵,1.5
131,갸름,1.5
132,거꾸러뜨리,-1.5
133,거꾸로,-1.5
134,거두,-1.5
135,거드럭거드럭,-1.5
136,거드럭거리,-1.5
140,거들,3
137,거들먹거리,-1.5
138,거들먹대,-1.5
139,거들먹이,-1.5
141,거뜬,3
142,거래,-1.5
143,거룩,3
144,거리끼,-1.5
145,거리낌,1.5
146,거만,-3
147,거무스름,-1.5
148,거볍,-1.5
150,거부,-3
149,거부감,-3
151,거북,-3
152,거세,-1.5
153,거슬리,-1.5
154,거역,-1.5
155,거의,-1.5
156,거절,-3
157,거짓,-3
158,거짓말,-3
159,거추장스럽,-1.5
162,거치,-3
161,거치적,-1.5
160,거치적거리,-1.5
3712,거친,-1.5
163,거칠어지,-3
164,거침새,3
165,거침없이,1.5
166,걱정,-3
167,걱정거리,-1.5
168,건강,1.5
169,건달,-1.5
170,건둥건둥,1.5
171,건둥반둥하,-1.5
172,건드리,-1.5
173,건들거리,-1.5
174,건들건들,-1.5
175,건들대,-1.5
176,건망증,-1.5
178,건방,-3
177,건방지,-3
179,건성,-1.5
180,건장,3
181,건전,3
182,걸리,-1.5
183,걸리적대,-1.5
3726,걸쭉,1.5
184,걸핏하면,-1.5
185,검사,-1.5
186,검소,1.5
187,검질기,-1.5
188,겁나,-1.5
189,겁내,-1.5
190,겁쟁이,-3
191,겉면,0
192,겉모양,0
193,겉치레,-1.5
194,게걸,-3
195,게우,-1.5
196,게으르,-1.5
197,게으름,-1.5
198,게을러빠지,-3
199,게을러터지,-3
200,게을리,3
201,겐트,-1.5
202,겨를,-1.5
203,겨우겨우,-1.5
204,격노,-3
205,격동,0
206,격려,1.5
207,격분,-3
208,격식,1.5
209,격하,-3
210,견고,1.5
211,견디,-3
212,견디기,-3
213,견주,1.5
214,결기,-1.5
216,결단,-1.5
215,결단성,-1.5
217,결딴나,-3
218,결막염,-1.5
219,결석,-3
220,결심,-1.5
221,결점,-1.5
222,결정,-1.5
223,결핍,-3
224,결핍증,-3
225,결함,-1.5
226,결핵,-1.5
,결혼,1.5
227,겸손,1.5
228,겸연쩍,-1.5
229,경건,3
230,경련,-1.5
231,경망,-1.5
232,경멸,-3
233,경박,-1.5
234,경사,3
235,경상,-3
236,경솔,-1.5
3627,경악,-3
237,경이,3
238,경치,3
239,경쾌,3
240,경험,1.5
241,경황,-1.5
242,계급,3
243,계속,-1.5
244,고결,3
245,고귀,3
246,고급,3
247,고급지,3
248,고까워하,-1.5
249,고난,-3
250,고단,-3
251,고달프,-3
252,고도화,-3
253,고도화되,-3
3658,고독,-1.5
254,고되,-3
255,고르,3
256,고름,-1.5
257,고름집,-1.5
258,고리,-1.5
3680,고리타분,-1.5
260,고마움,3
261,고마워하,3
259,고맙,3
262,고백,3
263,고부라지,0
264,고분,3
265,고비,-1.5
266,고상,1.5
267,고생,-3
